mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist
0ef3f425-9bd2-4216-9dd2-219d2fe90f1f,Lenny Kravitz,Lenny Kravitz,United States,United States,rock; american; hard rock; funk rock; soul; psychedelic rock; soft rock; pop rock; funk-rock; neo-psychedelia; classic pop and rock; pop soul; psychedelic soul,rock; funk; alternative; pop; alternative rock; seen live; american; classic rock; hard rock; singer-songwriter; 90s; Funk Rock; Lenny Kravitz; male vocalists; soul; pop rock; guitar; Pop-Rock; sexy; 80s; USA; blues; Neo-Psychedelia; indie; Lenny; 00s; funky,1799483,29353638,FALSE
b267ca80-034e-4dc1-9ed4-ec45f1fed41d,Good Charlotte,Good Charlotte,United States,United States,pop punk; pop and chart,punk rock; pop punk; rock; punk; alternative; seen live; alternative rock; emo; pop; Good Charlotte; american; pop rock; Pop-punk; Officially Shit; male vocalists; indie; 00s; USA; Punk-Rock; indie rock; shit; metal; power pop; Crap; punk pop; not emo; wristslitters; maryland; dance; favorites; punkrock,1798379,47175379,FALSE
2944824d-4c26-476f-a981-be849081942f,Nina Simone,Nina Simone,United States,United States,jazz; folk; american; blues; soul; rnb; gospel; vocal jazz; soul jazz; classic pop and rock; pop soul; death by breast cancer; rhythm & blues,jazz; soul; female vocalists; blues; vocal jazz; jazz vocal; nina simone; oldies; singer-songwriter; piano; american; female; vocal; 60s; beautiful; lounge; Female Voices; Love; female vocalist; rhythm and blues; jazzy; Smooth Jazz; easy listening; female vocal; Mellow; smooth; gospel; black classical music; folk; diva; USA; 50s; Jazz Divas; Standards; chillout; 70s; legend,1797381,40198909,FALSE
d530dbf9-69b1-404f-98f2-0431104f5a1e,Bullet for My Valentine,Bullet for My Valentine,United Kingdom,United Kingdom,heavy metal; metal; metalcore; welsh; rock and indie; melodic metalcore,metalcore; metal; hardcore; emocore; seen live; emo; rock; screamo; melodic metalcore; heavy metal; british; bullet for my valentine; thrash metal; alternative; hard rock; alternative metal; Nu Metal; welsh; alternative rock; post-hardcore; not emo; Melodic Death Metal; melodic metal; punk,1795341,80878990,FALSE
7944ed53-2a58-4035-9b93-140a71e41c34,Sting,Sting,United Kingdom,United Kingdom,rock; classical; pop; jazz; british; uk; duo; adult contemporary; pop rock; jazz pop; english; sophisti-pop; singer/songwriter; *england→north east→wallsend,rock; pop; classic rock; singer-songwriter; british; seen live; 80s; jazz; sting; soft rock; male vocalists; pop rock; 90s; alternative; UK; new wave; Pop-Rock; adult contemporary; soul; male vocalist; chillout; english; The Police; easy listening; folk; alternative rock; indie; favorites; britpop; Smooth Jazz; 00s; blues; Ballad; male; Love; reggae; singer; england; Mellow; Classical; acoustic; Jazz Rock,1788780,37507477,FALSE
b665b768-0d83-4363-950c-31ed39317c15,Van Halen,Van Halen,United States,,rock; hard rock; glam rock; pop rock; glam metal; aor; classic pop and rock; pop/rock; van halen; jump,hard rock; classic rock; rock; 80s; heavy metal,1788615,37647427,FALSE
2fa0d3ac-b64c-401a-b0a1-4915ba6cc157,Hoobastank,Hoobastank,United States,United States,alternative rock; hard rock; nu metal; post-grunge; alternative metal; pop rock,rock; alternative rock; alternative; punk rock; punk; seen live; post-grunge; hoobastank; emo; american; pop; hard rock; metal; pop rock; Nu Metal; indie; modern rock; indie rock; alternative metal; USA; 00s; pop punk; male vocalists; Grunge; Post Grunge; California; classic rock; Nu-metal; favorites,1784634,29014005,FALSE
8aa5b65a-5b3c-4029-92bf-47a544356934,Ozzy Osbourne,Ozzy Osbourne,United States,United Kingdom,rock; heavy metal; metal; british; uk; hard rock; pop rock; symphonic rock; piano rock; glam metal; english; classic pop and rock; ozzy osbourne; multiple ipi,heavy metal; hard rock; metal; classic rock; rock; seen live; british; 80s; Ozzy Osbourne; ozzy; classic metal; 90s; Black Sabbath; legend; male vocalists; UK; British Metal; alternative; thrash metal,1780695,47084566,FALSE
64b94289-9474-4d43-8c93-918ccc1920d1,Billy Joel,Billy Joel,United States,United States,rock; classical; pop; american; soft rock; pop rock; piano rock; classic pop and rock; this is the time; singer/songwriter,classic rock; singer-songwriter; rock; pop; piano; 80s; soft rock; seen live; 70s; billy joel; american; male vocalists; piano rock; pop rock; oldies; new york; classic; 90s; favorites; USA; folk; easy listening; jazz; male vocalist; Pop-Rock; Classical; piano man; adult contemporary; Favorite; indie; alternative; Favorite Artists; Rock and Roll; male; acoustic,1775916,33653474,FALSE
4dbf5678-7a31-406a-abbe-232f8ac2cd63,Bryan Adams,Bryan Adams,Canada,Canada,rock; british; canadian; hard rock; soft rock; acoustic rock; adult contemporary; pop rock; arena rock; album oriented rock; aor; rock and indie,rock; classic rock; 80s; pop; Canadian; seen live; singer-songwriter; bryan adams; 90s; soft rock; male vocalists; pop rock; hard rock; canada; Pop-Rock; romantic; Ballad; alternative; guitar; alternative rock; Love; male vocalist; favorites; Soundtrack; arena rock; adult contemporary; ballads; male; easy listening; AOR; chillout,1769664,27491101,FALSE
2119beb8-6ac5-4f21-82a4-b831c90c0024,Damien Rice,Damien Rice,Ireland,Ireland; United Kingdom,irish; folk; songwriter; singer; irlande; ireland; irlandais; chanteur; classic pop and rock,singer-songwriter; acoustic; indie; folk; irish; seen live; alternative; rock; indie rock; Mellow; damien rice; male vocalists; melancholy; pop; chillout; ireland; indie folk; indie pop; chill; sad; folk rock; alternative rock; beautiful; Love; favorites; Acoustic Rock; emo; melancholic; british; male vocalist; soft; Soundtrack; Great Lyricists; 00s; singer songwriter; Favourites; piano; guitar; relaxing; calm; Favorite; relax,1757501,53578954,FALSE
75167b8b-44e4-407b-9d35-effe87b223cf,Neil Young,Neil Young,Canada,Canada; United States,rock; folk; blues; canadian; singer-songwriter; hard rock; country; folk rock; country rock; classic rock; contemporary folk; classic pop and rock; shocking; singer/songwriter,classic rock; singer-songwriter; rock; folk; folk rock; seen live; Canadian; country; Alt-country; Neil Young; 70s; country rock; hard rock; 60s; blues; acoustic; folk-rock; Grunge; americana; alternative; guitar; canada; male vocalists; 80s; 90s; indie; classic; oldies; political; blues rock; country-rock; alternative rock; legend; favorites; indie rock; genius; Soundtrack; psychedelic; 00s; pop; Favorite Artists; Psychedelic Rock; Progressive rock; american; singer songwriter; toronto; Great Lyricists; experimental,1754984,63728946,FALSE
4efa55ba-93cf-497f-baf3-2ca9da7e193e,Jet,Jet,Australia,Australia,pop and chart,rock; alternative; alternative rock; indie; indie rock; seen live; australian; Garage Rock; hard rock; Jet; classic rock; punk; australia; rock n roll; 00s; pop; britpop; Rock and Roll; Aussie; garage rock revival; garage; male vocalists; pop rock; punk rock; emo; melbourne; favorites; indie pop,1754155,24002742,TRUE
1b34d22a-9f81-4a8a-83ba-00373e0cc6c4,Jet,Jet,Denmark,Australia,,rock; alternative; alternative rock; indie; indie rock; seen live; australian; Garage Rock; hard rock; Jet; classic rock; punk; australia; rock n roll; 00s; pop; britpop; Rock and Roll; Aussie; garage rock revival; garage; male vocalists; pop rock; punk rock; emo; melbourne; favorites; indie pop,1754155,24002742,TRUE
ce9e8a37-2424-404b-ada5-291547fbd807,Jet,Jet,United Kingdom,Australia,jet; sparks; radio stars; blue meanies; martin gordon,rock; alternative; alternative rock; indie; indie rock; seen live; australian; Garage Rock; hard rock; Jet; classic rock; punk; australia; rock n roll; 00s; pop; britpop; Rock and Roll; Aussie; garage rock revival; garage; male vocalists; pop rock; punk rock; emo; melbourne; favorites; indie pop,1754155,24002742,TRUE
2f9ecbed-27be-40e6-abca-6de49d50299e,Aretha Franklin,Aretha Franklin,United States,United States,rock; pop; jazz; american; soul; rnb; gospel; southern soul; deep soul; soul and reggae; pop soul; smooth soul; rhythm & blues; the queen of soul,soul; female vocalists; jazz; blues; rhythm and blues; rnb; oldies; gospel; 60s; motown; Aretha Franklin; american; funk; r&b; 70s; pop; female vocalist; rock; female; 80s; classic rock; Deep Soul; queen of soul; Southern Soul; USA; vocal jazz; detroit; classic; legend; urban,1753581,26008269,FALSE
75a72702-a5ef-4513-bca5-c5b944903546,John Legend,John Legend,United States,United States,american; usa; soul; américain; soul and reggae,soul; rnb; Neo-Soul; singer-songwriter; Hip-Hop; seen live; John Legend; male vocalists; Neo Soul; piano; r&b; american; pop; rhythm and blues; r and b; hip hop; smooth; male vocalist; urban; jazz; chillout; USA; 00s; easy listening; sexy; Mellow; favorites; r'n'b; nu soul; urban soul; chill; rap; Ohio; funk; hiphop; alternative; good music,1750440,31199454,FALSE
e0e1a584-dd0a-4bd1-88d1-c4c62895039d,Foster the People,Foster the People,United States,United States,pop; indie; alternative; indie pop; dance-pop,indie; indie pop; alternative; american; seen live; los angeles; indie rock; pop; electronic; rock; alternative rock; male vocalists; indietronica; foster the people; USA; Neo-Psychedelia; dance; alternative dance; electropop; California; pop rock; pumped up kicks; 10s; 00s; Indietronic; indie dance,1748814,56883143,FALSE
95f5b748-d370-47fe-85bd-0af2dc450bc0,Sublime,Sublime,United States,United States,rock; alternative rock; punk; american; punk rock; ska; ska punk; reggae; usa; dub; rapcore; skacore,ska; reggae; punk; rock; alternative; ska punk; dub; alternative rock; punk rock; sublime; 90s; indie; chill; California; american; Hip-Hop; ska-punk; Reggae Rock; long beach; seen live; favorites; classic rock; hip hop; rap; stoner; Stoner Rock; chillout; third wave ska; funk; summer; pop; hardcore; emo; indie rock; acoustic; reggae punk; metal; Grunge; USA,1746076,53108565,FALSE
7527f6c2-d762-4b88-b5e2-9244f1e34c46,Deftones,Deftones,United States,United States,rock; alternative rock; metal; american; usa; nu metal; new metal; américain; experimental rock; alternative metal; rock and indie,Nu Metal; metal; alternative; alternative rock; rock; seen live; alternative metal; hard rock; Nu-metal; experimental; Deftones; american; hardcore; Progressive metal; Experimental Rock; Progressive rock; 90s; heavy metal; indie; emo; USA; California; post-grunge; industrial; Progressive; Post-Metal; post-hardcore; crossover; punk; shoegaze; electronic; sacramento; Grunge; favorites; metalcore; 00s; ambient; screamo; atmospheric; new metal; Awesome; heavy; punk rock; male vocalists; experimental metal; art rock; rapcore; neo metal; trip-hop; post-rock,1733395,99368336,FALSE
07b6020a-c539-4d68-aeef-f159f3befc76,Band of Horses,Band of Horses,United States,United States,american; usa; indie rock; folk rock; indie; americana; américain; indie folk; folk pop; my morning jacket; reverb; rock and indie,indie; indie rock; seen live; alternative; Alt-country; rock; folk; american; alternative rock; indie pop; seattle; folk rock; indie folk; band of horses; americana; sub pop; Southern Rock; male vocalists; USA; country; Mellow; 00s; best of 2006; alternative country; melancholy; chill; acoustic; pop; beautiful; south carolina; washington; singer-songwriter; Alternative Folk,1723117,55134415,FALSE
1f43d76f-8edf-44f6-aaf1-b65f05ad9402,The Flaming Lips,The Flaming Lips,United States,,rock; pop; alternative rock; indie rock; psychedelic rock; psychedelic pop; experimental rock; noise pop; space rock; neo-psychedelia; noise rock; rock and indie,indie; seen live; alternative; indie rock; rock,1722990,53156523,FALSE
664c3e0e-42d8-48c1-b209-1efca19c0325,The National,The National,United States,,american; post-punk; usa; indie rock; producer; américain; post-punk revival; piano rock; chamber pop; producteur; rock and indie,seen live; indie rock; indie; alternative; rock,1715414,144391267,FALSE
eea8a864-fcda-4602-9569-38ab446decd6,Louis Armstrong,Louis Armstrong,United States,United States,pop; jazz; american; swing; gospel; vocal jazz; dixieland; trumpeter; classic pop and rock; traditional pop; sm; death by heart attack; aa0003000,jazz; blues; swing; trumpet; oldies; vocal jazz; soul; american; louis armstrong; New Orleans; male vocalists; classic jazz; dixieland; 50s; 60s; jazz vocal; 40s; 30s; new orleans jazz; legend; Early Jazz; instrumental,1713540,25814261,FALSE
070d193a-845c-479f-980e-bef15710653e,Prince,Prince,United States,United States,rock; pop; 70s; 80s; 90s; dance; punk; american; usa; funk; funk rock; soul; américain; dance-pop; psychedelic pop; pop rock; neo-psychedelia; 00s; robin; film soundtrack; pop and chart; pop soul; psychedelic soul; minneapolis sound; pop/rock; contemporary r&b; dance-rock; synth funk; prince revolution; pretzelbodylogic,funk; pop; soul; 80s; rock; seen live; prince; rnb; dance; classic rock; american; new wave; male vocalists; jazz; singer-songwriter; 90s; funky; minneapolis sound; psychedelic; Disco; alternative; blues; synthpop; sexy; r&b; electronic; rhythm and blues; pop rock; legend; Minneapolis; Funk Rock; genius; Hip-Hop; Minnesota; 70s; USA; 00s; experimental; Soundtrack; indie; guitar; alternative rock; favorites; 80's; synth funk; Minneapolis funk; r and b; sex; 80s Pop,1708033,40705507,FALSE
13bcb2bb-db37-4397-baf5-e0f085be2d64,Rick Ross,Rick Ross,United States,United States,hip hop; southern hip hop; gangsta rap; pop rap; hip hop rnb and dance hall; hardcore hip hop; trap rap,Hip-Hop; rap; Dirty South; southern rap; hip hop; rick ross; miami; Gangsta Rap; seen live; florida; cocaine; gangsta; dade county; officer ricky; american; rnb; hustler; Southern Hip Hop; hiphop; ross; Hustlin; slip n slide; fat; trap rap; boss; Trick Daddy; pop; favorites; police; def jam; southern hip-hop,1701472,18947652,FALSE
148ddea2-6839-4354-8e2c-5dfadf136b7f,Tenacious D,Tenacious D,United States,,american; california; los angeles; rock and indie; united states,rock; comedy; hard rock; alternative rock; alternative,1701222,54433810,FALSE
24e1b53c-3085-4581-8472-0b0088d2508c,Avenged Sevenfold,Avenged Sevenfold,United States,United States,metal; american; hard rock,metalcore; metal; hard rock; hardcore; rock; seen live; heavy metal; alternative metal; screamo; emo; AVENGED SEVENFOLD; punk; alternative; american; A7X; alternative rock; melodic metalcore; Nu Metal; Power metal; post-hardcore; Progressive metal; punk rock; NWOAHM; Awesome; death metal; California; emocore; USA; thrash metal; new wave of american heavy metal; favorites; melodic metal; 00s,1700304,98312113,FALSE
6f1de078-6684-4792-820d-2ffad64c15ed,Two Door Cinema Club,Two Door Cinema Club,United Kingdom,United Kingdom,indie rock,indie; electronic; british; alternative; seen live,1699326,65639663,FALSE
4d2956d1-a3f7-44bb-9a41-67563e1a0c94,Blondie,Blondie,United States,United States,rock; pop; punk; american; punk rock; new wave; usa; power pop; disco; pop rock; classic pop and rock; pop/rock; pop reggae,new wave; 80s; rock; female vocalists; pop; punk; seen live; classic rock; 70s; alternative; american; punk rock; post-punk; Blondie; pop rock; Disco; new york; female vocalist; indie; USA; dance; female; power pop; alternative rock; oldies; 90s; electronic; New York Punk; pop punk; NYC; singer-songwriter; cbgb; indie rock; 80's; sexy; synthpop; glam rock; Post punk; debbie harry; Dance-Rock; American Punk; favorites,1697662,29745302,FALSE
abd506e1-6f2b-4d6f-b937-92c267f6f88b,Journey,Journey,United States,United States,rock; progressive rock; hard rock; pop rock; aor; classic pop and rock,classic rock; rock; 80s; hard rock; Progressive rock; AOR; seen live; journey; american; soft rock; arena rock; pop; 70s; melodic rock; pop rock; male vocalists; USA; Progressive; classic; 80's; 80s rock; oldies; favorites; power ballads; san francisco; metal; Steve Perry; alternative rock,1692534,27519000,FALSE
860b2707-6153-4e3a-aa57-74d2b42c55b5,Justice,Justice,France,France,rock; electronic; french; dance; house; electro; france; français; european; electro house; dance and electronica,electronic; electro; french; dance; seen live; electronica; House; ed banger; techno; electro house; new rave; hardcore; french house; Electroclash; french electro; justice; indie; france; electropop; Disco; 00s; french touch; dance punk; hardcore punk; funk; alternative; thrash metal; experimental; party; want to see live; pop; indietronica; club,1691370,57881970,FALSE
